landavgtemp,month,year
3.514622091813424,1.0,2016.0
4.055344880492653,2.0,2016.0
6.168799139257467,3.0,2016.0
9.463199678286635,4.0,2016.0
12.422633339829899,5.0,2016.0
14.623092254089432,6.0,2016.0
15.414539394816423,7.0,2016.0
15.041952144442776,8.0,2016.0
13.173717224003477,9.0,2016.0
10.42455979949837,10.0,2016.0
7.270556699721444,11.0,2016.0
4.997194885224905,12.0,2016.0
3.514622091813424,1.0,2017.0
4.055344880492653,2.0,2017.0
6.168799139257467,3.0,2017.0
9.463199678286635,4.0,2017.0
12.422633339829899,5.0,2017.0
14.623092254089432,6.0,2017.0
15.414539394816423,7.0,2017.0
15.041952144442776,8.0,2017.0
13.173717224003477,9.0,2017.0
10.42455979949837,10.0,2017.0
7.270556699721444,11.0,2017.0
4.997194885224905,12.0,2017.0
3.514622091813424,1.0,2018.0
4.055344880492653,2.0,2018.0
6.168799139257467,3.0,2018.0
9.463199678286635,4.0,2018.0
12.422633339829899,5.0,2018.0
14.623092254089432,6.0,2018.0
15.414539394816423,7.0,2018.0
15.041952144442776,8.0,2018.0
13.173717224003477,9.0,2018.0
10.42455979949837,10.0,2018.0
7.270556699721444,11.0,2018.0
4.997194885224905,12.0,2018.0
3.514622091813424,1.0,2019.0
4.055344880492653,2.0,2019.0
6.168799139257467,3.0,2019.0
9.463199678286635,4.0,2019.0
12.422633339829899,5.0,2019.0
14.623092254089432,6.0,2019.0
15.414539394816423,7.0,2019.0
15.041952144442776,8.0,2019.0
13.173717224003477,9.0,2019.0
10.42455979949837,10.0,2019.0
7.270556699721444,11.0,2019.0
4.997194885224905,12.0,2019.0
3.514622091813424,1.0,2020.0
4.055344880492653,2.0,2020.0
6.168799139257467,3.0,2020.0
9.463199678286635,4.0,2020.0
12.422633339829899,5.0,2020.0
14.623092254089432,6.0,2020.0
15.414539394816423,7.0,2020.0
15.041952144442776,8.0,2020.0
13.173717224003477,9.0,2020.0
10.42455979949837,10.0,2020.0
7.270556699721444,11.0,2020.0
4.997194885224905,12.0,2020.0
